cod_ibge;Municipio;Valor;Ano;Tipo;Valor Estado;Indicador 1;Indicador 2;Indicador 3;Indicador 4;Indicador 5;
3503604;Areiópolis;0,297;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503703;Ariranha;0,459;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503703;Ariranha;0,43;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503703;Ariranha;0,435;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503703;Ariranha;0,423;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503703;Ariranha;0,43;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503703;Ariranha;0,458;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503802;Artur Nogueira;0,338;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503802;Artur Nogueira;0,31;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503802;Artur Nogueira;0,328;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503802;Artur Nogueira;0,328;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503802;Artur Nogueira;0,387;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503802;Artur Nogueira;0,354;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503901;Arujá;0,431;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503901;Arujá;0,416;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503901;Arujá;0,44;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503901;Arujá;0,451;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503901;Arujá;0,453;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503901;Arujá;0,474;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503950;Aspásia;0,241;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503950;Aspásia;0,238;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503950;Aspásia;0,276;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503950;Aspásia;0,298;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503950;Aspásia;0,282;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503950;Aspásia;0,324;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504008;Assis;0,373;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504008;Assis;0,352;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504008;Assis;0,365;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504008;Assis;0,36;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504008;Assis;0,359;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3504008;Assis;0,386;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504107;Atibaia;0,44;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504107;Atibaia;0,42;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504107;Atibaia;0,439;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504107;Atibaia;0,438;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504107;Atibaia;0,423;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3504107;Atibaia;0,44;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504206;Auriflama;0,315;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504206;Auriflama;0,299;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504206;Auriflama;0,317;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504206;Auriflama;0,311;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504206;Auriflama;0,308;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3504206;Auriflama;0,344;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504305;Avaí;0,358;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504305;Avaí;0,326;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504305;Avaí;0,366;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504305;Avaí;0,385;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504305;Avaí;0,39;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3504305;Avaí;0,449;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504404;Avanhandava;0,308;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504404;Avanhandava;0,316;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504404;Avanhandava;0,322;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504404;Avanhandava;0,337;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504404;Avanhandava;0,295;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3504404;Avanhandava;0,338;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504503;Avaré;0,382;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504503;Avaré;0,378;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504503;Avaré;0,39;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504503;Avaré;0,369;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504503;Avaré;0,371;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3504503;Avaré;0,412;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3504602;Bady Bassitt;0,367;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3504602;Bady Bassitt;0,341;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3504602;Bady Bassitt;0,353;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3504602;Bady Bassitt;0,358;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3504602;Bady Bassitt;0,326;2022;Riqueza;0,441;;;;;Indicador Riqueza;
